39,41,43,39,36,39,41,46,48,51,41,39,39,43,39,43,39,46,41,41,43,48,43,41,48,36,39,46,41,53,48,46,39,39,46,41,41,46,48,48,48,48,51,43,48,43,36,46,55,43,46,36,43,53,53,48,41,46,48,46,39,51,48,46,43,58,43,46,39,43,48,55,55,43,43,51,43,46,41,53,46,55,43,58,43,51,51,46,43,55,43,39,48,36,36,43,48,41,43,43,41,53,46,41,43,48,58,46,43,48,41,39,36,41,53,43,48,48,46,48,48,43,43,43,43,43,53,60,36,36,41,43,43,41,51,36,51,48,48,43,41,41,46,48,43,46,39,41,48,39,58,46,53,43,41,43,46,43,43,43,41,39,48,41,41,43,55,41,41,53,51,43,36,41,39,41,48,46,48,48,63,43,48,43,48,43,36,48,43,46,43,60,39,43,43,41,55,58
36,36,43,43,39,41,41,51,51,48,43,36,43,39,41,53,41,43,43,39,43,41,43,39,46,48,51,39,41,51,36,48,36,43,55,43,41,43,48,48,48,46,48,51,46,46,36,48,53,46,41,36,41,48,48,48,36,55,55,41,41,46,43,36,43,39,39,48,41,39,53,53,55,53,48,51,46,41,43,51,41,39,41,43,41,51,48,48,46,58,43,43,48,43,39,43,53,39,43,43,43,53,43,39,41,46,58,46,48,53,39,41,41,36,46,39,36,48,41,43,51,43,48,53,43,36,41,53,36,39,43,51,46,43,36,39,51,51,51,39,36,41,43,39,41,46,43,39,43,41,60,46,48,48,48,39,41,41,41,43,41,43,43,41,41,39,55,41,43,39,53,46,36,41,41,43,48,43,46,51,63,41,39,43,51,46,36,43,43,46,46,51,43,43,46,43,55,41
36,43,41,39,43,46,41,55,48,48,46,41,36,36,41,51,41,43,43,39,46,46,46,39,51,41,39,53,39,46,48,53,43,41,48,43,41,46,51,51,48,43,53,48,46,46,36,51,48,43,43,39,43,53,48,53,39,51,53,41,41,43,43,41,51,60,41,48,36,41,58,55,58,43,48,43,43,43,41,51,41,51,41,55,43,55,53,46,43,51,43,46,48,43,41,43,55,39,43,41,41,53,43,39,43,46,55,48,43,48,43,43,36,41,48,43,41,48,46,46,46,41,46,48,43,41,41,46,36,39,43,43,46,43,43,41,51,55,53,36,36,39,46,41,41,48,43,39,48,41,58,53,51,48,48,41,43,43,39,48,39,43,46,43,48,41,60,39,43,46,55,43,36,39,39,46,43,41,43,53,63,46,43,46,53,41,36,36,46,43,48,43,43,46,43,43,39,46
41,43,43,41,36,46,39,55,53,48,43,36,39,43,39,43,43,43,46,41,48,46,46,41,43,43,41,43,36,41,48,48,41,39,46,43,43,46,48,43,36,46,48,41,48,43,39,48,43,43,41,36,41,51,43,51,43,53,53,43,41,43,46,43,51,53,43,46,36,43,53,55,58,43,46,43,41,41,36,46,46,58,39,55,41,58,48,46,46,53,36,48,51,46,36,53,53,43,36,43,43,53,46,41,48,46,55,48,46,48,41,41,43,43,55,43,43,48,43,43,48,39,46,41,43,39,43,53,36,36,41,41,48,41,48,39,51,51,51,36,41,41,48,46,41,46,41,41,48,36,58,58,51,46,51,39,41,39,43,41,39,41,43,36,48,46,58,36,43,48,55,41,36,43,36,46,48,39,46,55,63,43,48,41,51,43,36,48,43,43,48,55,43,43,43,39,53,53
43,41,53,46,36,53,43,51,43,48,43,36,43,39,36,48,36,51,43,43,43,43,43,39,55,36,46,43,36,48,46,51,43,43,46,43,41,48,58,70,48,43,53,39,48,36,39,51,65,46,60,39,48,48,79,41,46,55,55,43,39,46,43,48,51,41,36,41,48,46,58,77,53,51,48,51,48,36,43,58,53,43,48,48,43,67,43,43,46,48,41,36,53,41,41,53,53,41,55,46,46,58,39,43,41,43,60,43,51,41,53,43,43,39,53,48,48,46,48,46,55,72,46,55,43,36,43,63,39,39,51,36,46,48,46,39,53,43,55,41,36,41,36,46,43,43,43,43,53,41,48,60,36,46,55,36,36,55,55,41,36,36,53,46,55,55,72,46,41,48,58,43,39,46,36,53,46,41,48,65,67,51,43,46,53,48,43,36,48,46,41,36,43,55,48,43,43,53
48,53,48,46,41,60,51,51,58,60,48,48,48,51,48,55,39,51,46,48,51,63,51,48,48,55,48,48,48,55,65,55,48,36,53,51,46,46,55,48,43,55,55,48,55,53,46,60,58,41,60,41,48,53,51,55,51,67,60,48,46,48,46,55,53,65,43,53,48,48,63,60,63,60,55,58,58,55,48,60,55,51,41,48,46,72,55,58,48,60,48,55,55,55,43,67,48,51,43,46,43,58,43,48,51,55,65,55,51,63,48,46,51,58,53,51,55,58,55,41,60,41,46,48,46,53,60,55,51,36,48,55,46,46,55,43,55,58,60,48,43,53,48,53,46,48,41,46,48,43,67,72,55,48,65,58,58,51,60,43,39,51,51,43,55,55,58,48,55,60,58,53,46,48,43,48,58,53,58,63,67,60,51,53,55,55,51,43,48,51,55,55,46,55,48,43,48,67
43,60,53,53,36,67,43,48,53,48,51,46,41,48,53,60,41,43,53,48,58,70,48,36,41,55,58,43,46,48,51,51,43,39,65,55,36,53,53,36,39,60,55,51,53,65,43,72,43,43,55,43,53,43,36,53,46,67,67,43,43,51,51,60,58,43,46,55,43,48,65,58,67,60,46,46,60,51,43,43,51,60,36,55,43,65,55,67,60,53,46,67,55,63,39,72,48,46,46,41,41,60,43,53,48,60,60,58,60,60,46,39,53,63,53,43,48,58,63,43,63,36,79,43,53,48,55,53,46,36,58,58,51,43,48,43,60,63,58,48,39,48,58,60,41,51,48,43,46,39,67,72,53,41,72,55,48,39,58,65,41,53,48,39,67,55,51,41,58,60,60,53,43,41,43,53,55,55,58,67,63,55,51,63,63,48,43,43,55,46,79,58,41,53,48,43,48,63
43,58,46,39,36,65,48,48,55,48,48,53,36,48,58,55,41,46,51,46,39,60,43,43,48,48,43,58,43,60,58,55,51,41,53,51,41,51,53,39,46,53,58,36,51,51,46,63,43,51,55,43,48,43,36,46,48,65,60,41,41,51,46,55,55,65,51,53,43,48,65,60,58,43,46,43,55,51,39,39,53,63,39,55,46,70,55,67,51,43,43,55,51,60,41,67,46,48,46,39,41,60,46,48,55,55,58,51,55,58,43,36,53,63,58,48,51,58,63,46,58,36,55,46,51,53,51,36,43,36,46,60,51,36,55,46,55,60,55,39,41,51,46,60,36,55,43,43,46,48,63,72,55,36,67,48,55,43,60,53,36,48,51,36,58,51,48,36,55,55,55,53,43,41,46,51,46,51,55,67,60,55,55,53,63,43,46,51,53,48,60,51,46,48,43,43,51,65
43,53,48,43,36,60,48,53,58,46,48,51,36,48,46,53,43,48,48,48,43,55,43,43,36,51,41,43,39,53,53,48,46,46,55,51,43,51,53,41,36,48,53,41,41,55,55,60,46,43,58,39,51,41,43,51,43,60,55,46,43,53,46,53,48,60,48,55,43,48,55,60,58,51,43,43,51,53,36,41,53,60,36,51,43,63,53,58,51,51,41,48,51,58,39,60,48,48,43,39,43,60,48,48,60,53,58,58,55,53,43,36,51,55,60,43,53,60,48,48,63,36,51,39,53,51,58,55,39,36,53,53,43,39,55,43,60,67,53,41,36,51,46,55,36,48,43,41,43,41,67,67,58,43,60,48,53,43,53,36,39,43,43,36,58,51,55,36,53,58,58,51,41,43,43,48,55,48,63,58,60,55,53,55,65,46,46,53,48,48,60,65,43,53,46,39,55,63
41,46,48,43,36,60,39,39,51,48,51,48,41,43,51,51,36,43,43,46,41,58,41,39,51,41,48,39,41,55,48,55,43,39,55,55,43,48,51,43,43,48,53,43,48,51,46,60,48,41,60,39,48,41,51,43,43,63,58,46,41,51,41,55,48,46,43,51,48,46,67,60,55,48,46,46,58,51,36,41,48,46,36,39,48,63,48,48,48,55,43,48,51,46,36,58,43,46,48,39,41,60,43,48,51,51,60,55,55,60,46,36,51,55,55,41,48,60,48,41,60,41,46,41,51,46,51,51,39,36,46,48,48,36,46,36,58,53,51,36,36,46,55,48,36,48,43,39,43,36,65,70,53,39,70,51,48,43,63,48,36,43,46,41,48,46,53,36,48,48,55,51,41,41,39,46,43,53,58,60,60,51,48,53,65,43,39,41,51,48,58,48,41,48,43,43,51,53
