38,40,43,40,38,38,40,45,48,50,40,40,40,43,38,43,38,45,40,40,45,48,43,40,48,38,40,45,40,52,50,45,40,40,45,40,40,45,48,48,48,48,50,40,50,43,36,45,55,45,45,36,43,52,52,48,40,45,50,45,40,50,45,45,43,57,43,45,38,43,48,55,55,45,45,50,45,45,40,52,45,57,43,57,45,52,50,45,45,55,43,38,48,36,36,43,48,40,45,45,40,52,45,40,43,48,57,45,43,48,40,38,36,40,52,43,48,48,45,48,48,43,43,43,43,43,52,60,36,38,40,43,43,40,50,36,50,45,50,43,40,40,45,48,43,45,38,40,45,40,57,45,52,43,40,43,45,43,45,43,40,38,45,40,40,43,55,40,40,52,50,43,36,40,38,40,45,45,50,48,62,43,48,43,50,43,36,48,43,45,40,60,38,43,43,40,57,57
36,36,43,45,38,40,40,52,50,48,43,36,43,40,40,52,40,45,43,38,43,40,43,40,45,45,50,38,40,52,36,50,36,45,55,43,40,43,48,45,48,45,50,50,45,45,38,48,52,45,40,38,40,48,50,50,38,55,55,40,40,45,45,38,40,38,38,50,40,38,52,52,55,52,48,50,45,40,45,50,40,40,40,43,40,52,48,48,45,57,43,43,45,43,38,40,52,40,43,43,45,52,43,38,40,45,57,45,48,52,40,40,40,36,45,40,36,48,40,43,50,43,48,52,45,36,40,52,36,38,43,50,45,43,38,40,50,50,50,38,36,40,45,40,40,45,43,38,43,40,57,45,48,48,48,40,40,40,40,45,40,43,43,40,40,38,57,40,43,38,52,45,36,40,40,43,45,40,45,52,62,40,38,43,52,45,36,45,45,45,45,50,43,43,45,45,55,40
36,43,40,38,43,45,40,55,48,45,45,40,38,36,40,50,40,43,40,40,45,45,45,40,50,40,38,52,40,45,48,52,43,40,48,45,40,45,52,50,48,43,52,45,45,45,36,50,50,45,43,38,45,52,50,52,40,52,52,40,40,43,43,40,50,60,40,48,36,40,57,55,57,43,48,45,45,43,40,50,40,50,40,52,43,52,52,45,43,50,43,45,48,43,40,43,55,40,43,40,40,52,43,38,43,45,55,48,43,50,43,43,38,40,45,43,40,48,45,45,45,40,45,50,43,40,40,45,38,38,45,43,45,43,43,40,52,55,52,36,36,40,45,40,40,48,43,40,50,40,57,52,52,48,50,40,43,43,40,48,38,45,45,43,50,40,60,40,43,45,52,45,36,40,40,45,43,40,43,52,64,45,43,45,52,40,36,36,45,45,48,45,43,45,45,45,38,45
40,43,43,40,36,45,40,55,52,48,43,36,38,43,38,45,43,43,45,40,48,45,45,40,43,45,40,43,36,40,48,48,40,40,45,43,43,45,48,45,36,45,48,40,48,43,40,50,45,43,40,36,40,50,40,50,40,52,52,43,40,45,45,45,50,52,43,45,36,43,52,55,57,43,45,43,40,40,38,45,45,57,38,55,40,57,48,45,45,52,36,48,50,45,36,52,52,43,38,43,43,52,45,40,45,45,52,48,45,48,40,40,43,43,57,43,45,48,43,43,48,38,45,40,45,38,45,52,36,36,40,40,48,40,50,38,50,50,50,38,40,40,48,45,40,45,40,40,48,36,57,57,50,45,50,40,40,38,43,40,40,40,43,36,50,45,57,36,43,48,55,40,38,43,36,45,50,38,45,55,64,45,48,40,50,43,38,48,43,43,48,55,43,43,45,40,52,52
43,40,52,45,36,52,43,50,43,48,45,36,45,40,36,50,38,50,43,43,43,43,43,40,52,38,45,43,36,45,45,50,43,43,45,43,40,45,57,69,45,43,52,38,48,38,38,52,64,45,60,38,48,50,79,40,45,55,55,45,38,45,43,48,50,40,36,40,50,45,57,76,52,50,48,50,50,36,43,57,52,45,48,48,43,67,43,45,45,48,40,36,52,40,40,52,52,40,55,45,45,57,40,43,40,45,60,43,50,40,52,43,43,40,52,50,45,45,48,45,55,72,45,55,43,38,43,62,40,38,50,38,45,48,45,40,52,43,55,40,38,40,38,45,43,45,43,43,52,40,48,60,38,45,55,36,36,52,55,40,36,36,52,45,55,55,74,45,40,48,57,43,40,45,36,52,45,40,45,64,64,50,45,45,52,48,43,36,50,45,40,36,43,55,45,45,43,52
50,52,50,45,40,60,52,50,57,57,48,48,48,52,50,55,38,50,45,50,52,62,50,48,48,52,48,45,45,55,64,55,48,36,52,50,45,45,57,48,45,55,55,48,55,52,45,60,57,40,62,40,45,52,52,57,52,67,60,45,45,48,45,55,52,64,43,52,48,50,62,62,62,57,55,57,57,55,48,60,52,50,40,50,45,72,57,57,48,60,50,55,52,55,43,67,48,50,45,45,43,57,43,48,50,55,64,55,52,64,50,45,50,57,52,52,55,57,55,40,62,40,45,48,45,52,57,57,52,38,48,52,45,45,55,43,55,57,60,45,43,52,48,52,45,48,40,45,50,43,64,69,55,48,64,57,57,50,57,43,40,50,50,43,55,55,57,48,55,60,57,52,45,48,43,48,57,52,57,62,67,60,50,52,55,52,50,43,48,52,55,55,45,55,50,45,45,64
43,57,52,52,36,64,43,50,52,48,52,45,40,48,52,60,40,43,52,48,57,69,50,36,40,52,57,43,45,48,50,50,45,38,64,55,38,52,52,36,38,62,55,50,52,64,45,72,45,43,55,40,52,43,38,52,45,64,69,43,43,50,50,60,57,43,45,55,43,45,64,57,67,57,45,45,60,50,43,43,50,62,36,52,45,64,55,64,60,52,45,64,55,64,40,69,48,45,45,40,40,62,45,52,50,60,57,57,60,60,45,38,52,62,52,43,48,57,62,43,62,36,76,43,52,48,55,52,45,38,57,57,50,43,48,43,60,62,57,50,40,45,57,57,40,52,48,43,45,40,69,72,52,40,72,52,50,40,57,64,40,52,48,38,67,55,52,40,57,60,60,52,43,40,45,52,52,55,57,67,62,55,50,62,62,50,43,45,57,45,79,57,40,52,48,43,50,64
43,57,45,40,38,64,48,48,55,48,50,52,38,48,57,57,40,45,50,45,40,60,43,43,48,50,45,57,43,60,57,52,50,40,52,52,40,50,52,38,45,52,57,36,50,50,45,62,43,52,55,43,50,43,38,45,48,64,60,40,40,50,45,55,55,64,52,52,43,48,64,60,57,43,45,43,55,52,38,40,52,62,40,52,45,69,57,64,50,45,43,55,50,60,40,67,45,48,45,40,40,57,45,48,55,55,57,50,55,57,45,36,52,62,57,48,50,57,62,45,57,36,55,45,50,52,50,36,43,38,45,57,52,36,55,45,55,60,55,40,40,50,45,57,36,55,45,43,45,50,64,72,55,36,64,48,55,45,60,52,38,48,50,36,57,50,50,38,55,55,55,52,43,40,45,52,45,50,55,64,60,55,55,52,62,43,45,52,52,50,60,50,45,48,43,43,50,64
43,52,48,43,36,60,48,52,57,45,48,50,38,48,45,52,40,48,50,48,43,57,43,43,36,50,40,43,40,52,52,48,45,45,55,50,45,50,52,40,36,48,52,40,40,57,55,60,45,45,57,40,52,40,43,50,43,62,55,45,45,52,45,52,48,60,48,55,43,48,55,57,57,50,45,45,52,52,36,40,52,57,36,50,43,64,52,57,52,52,40,48,52,57,38,62,48,48,45,40,40,60,48,48,60,52,57,57,55,52,45,38,50,55,60,43,52,57,48,50,62,38,52,38,52,52,57,55,40,36,52,52,43,38,55,43,57,67,52,40,38,50,45,55,36,48,43,40,45,40,67,67,57,43,62,50,52,43,52,36,40,45,45,36,57,50,52,36,52,57,57,52,40,43,43,45,55,48,62,57,60,55,52,55,64,45,45,52,48,48,57,64,45,52,45,40,55,62
40,45,45,43,38,60,40,40,50,48,50,48,40,43,52,50,36,43,45,45,40,57,40,38,52,40,48,40,40,55,48,55,43,40,55,52,43,48,52,43,43,50,52,43,48,52,45,60,48,40,60,38,50,40,50,45,43,62,57,45,40,50,40,55,48,45,45,50,48,45,64,60,57,45,45,45,57,52,36,40,48,45,36,40,48,62,48,50,48,55,43,48,50,45,36,57,43,45,48,38,40,57,43,50,50,52,60,55,55,60,45,38,52,57,55,40,48,60,50,40,60,40,45,40,52,45,50,52,38,38,45,48,48,36,45,36,57,52,52,36,38,45,52,48,36,48,43,40,45,38,64,69,52,38,69,50,48,43,62,48,36,40,45,40,50,45,52,36,48,48,55,50,40,40,38,45,45,52,57,60,57,50,50,52,64,43,38,40,50,48,57,45,40,48,40,43,50,52
45,57,50,43,43,64,48,52,60,52,52,52,40,45,52,57,45,48,50,50,50,69,48,45,45,60,48,48,45,52,60,55,48,38,57,52,38,52,60,45,45,52,50,52,43,60,45,67,55,48,52,43,50,52,43,62,48,69,60,40,45,55,48,60,55,57,48,57,52,52,60,52,60,57,43,48,60,55,45,57,52,50,48,57,36,67,60,64,57,60,50,52,52,62,45,60,43,43,43,43,45,60,50,48,50,57,62,50,57,62,48,48,52,60,60,48,52,64,64,48,69,40,57,50,52,52,55,55,45,43,55,57,43,40,52,45,62,45,57,45,40,50,50,55,43,50,45,50,48,48,74,72,62,43,67,52,52,48,57,38,38,48,52,43,50,50,57,48,57,64,57,55,43,40,45,48,60,52,52,69,64,62,55,57,64,48,55,38,50,52,60,57,45,55,43,40,48,64
45,57,50,57,45,74,55,57,57,57,52,52,43,57,64,60,48,45,57,50,52,69,50,40,57,62,69,43,45,60,55,62,50,43,67,60,43,52,60,45,48,60,62,67,48,64,52,81,50,52,57,45,55,52,50,62,45,74,72,50,45,57,55,60,57,50,52,62,48,50,76,62,62,72,55,48,64,62,50,52,55,60,40,55,48,72,62,74,57,57,52,67,60,72,43,67,57,50,48,40,43,64,50,57,57,62,60,64,64,64,55,48,57,67,64,50,48,67,55,50,72,45,69,50,62,52,57,52,52,43,57,64,55,45,50,45,60,57,62,50,45,50,60,64,48,55,52,50,52,45,72,79,60,52,72,52,52,43,57,52,43,57,55,40,64,60,60,45,64,60,60,62,43,48,50,55,57,57,62,74,64,55,52,62,69,50,52,50,57,55,69,57,45,52,50,45,55,67
50,60,48,45,52,60,45,55,52,52,50,52,45,60,64,69,48,48,50,48,48,64,48,50,57,52,57,48,52,60,60,55,50,36,62,57,48,52,52,43,48,55,74,50,55,64,52,62,45,50,55,45,52,52,52,64,45,64,64,40,50,50,52,57,62,67,50,57,50,52,62,69,60,55,50,40,62,64,52,52,50,69,40,48,50,67,57,62,52,45,55,64,55,57,45,67,57,52,55,45,40,62,52,55,57,57,60,52,55,55,52,45,55,64,64,48,52,69,60,50,55,40,55,52,57,57,52,43,50,52,52,57,52,48,57,48,57,72,55,48,40,52,45,60,45,64,48,50,52,50,67,69,60,48,67,60,67,48,60,45,45,52,55,45,74,57,52,50,57,67,57,60,48,48,48,55,57,55,60,62,60,55,52,57,69,52,57,45,52,57,67,57,50,52,52,45,52,64
55,60,50,62,57,67,60,69,57,52,52,57,50,57,69,76,52,48,60,50,50,64,50,55,57,69,62,55,52,62,60,52,52,48,62,62,55,52,69,40,50,57,67,62,52,64,60,76,40,48,62,45,52,55,40,64,52,72,64,52,55,62,64,62,62,57,57,60,52,52,64,64,62,69,55,48,62,67,52,52,57,76,45,57,52,69,62,72,52,52,57,69,57,67,45,74,55,52,55,45,45,64,52,57,64,60,60,60,64,57,50,48,69,67,64,60,55,69,57,48,69,40,57,55,62,64,62,48,52,50,55,69,55,52,62,50,57,76,57,48,50,55,55,62,52,55,50,48,50,55,79,72,64,48,72,62,62,45,74,45,52,60,50,45,72,64,55,50,57,62,57,67,48,55,52,60,57,60,62,72,62,55,55,62,74,50,55,60,52,62,72,64,48,50,57,48,64,67
