56,53,46,49,58,46,49,49,46,51,51,51,53,46,51,46,46,46,46,49,58,58,51,46,46,61,49,53,53,46,51,46,51,46,56,53,49,53,46,49,49,58,49,49,46,53,51,46,49,49,53,63,49,53,51,53,53,46,49,49,46,46,49,51,46,46,46,63,46,49,46,46,51,49,53,49,51,49,49,49,51,53,51,53,49,58,46,46,49,46,53,46,49,53,49,58,46,49,56,49,53,53,46,53,46,51,46,51,58,46,61,51,49,46,46,51,46,46,46,46,53,46,56,46,56,56,46,46,51,46,53,49,51,49,56,46,51,49,49,49,46,53,46,46,46,46,56,51,49,46,46,46,46,46,49,46,53,53,53,56,49,70,46,46,46,46,56,53,53,49,49,46,53,51,53,46,51,46,46,51,46,46,53,51,56,46,46,49,53,46,46,49,46,46,53,51,46,46,53,58
53,51,53,51,53,46,46,46,46,56,51,53,53,49,46,49,49,53,49,51,53,53,53,46,53,56,53,49,46,51,49,46,49,49,53,51,46,49,46,46,46,61,51,51,51,53,51,51,49,49,51,49,46,56,51,51,58,51,49,49,46,46,46,51,46,46,53,65,49,53,46,46,46,46,56,46,46,58,46,51,53,46,46,58,49,53,53,51,56,46,46,46,51,63,46,46,49,53,49,49,53,56,53,49,49,51,49,53,53,49,53,46,53,46,53,46,53,46,46,49,49,46,49,51,58,53,49,46,51,51,56,51,53,46,61,46,46,51,51,53,53,56,46,46,46,46,58,49,49,46,53,46,46,53,51,46,53,51,51,46,46,49,51,53,51,46,58,58,53,51,46,46,49,53,51,49,49,49,46,53,56,46,56,46,58,46,46,46,51,51,46,46,46,58,51,46,49,53,49,58
56,56,63,56,53,58,53,49,49,53,51,53,56,58,46,51,53,58,58,53,53,49,56,51,58,56,51,51,56,53,53,51,51,56,51,53,53,56,46,51,58,56,46,53,56,58,49,58,49,56,51,58,53,58,49,53,56,58,58,51,53,53,51,56,53,53,56,70,53,61,49,46,49,49,53,51,46,63,53,51,58,49,49,61,53,70,56,58,61,46,46,51,53,61,51,46,53,56,53,49,53,58,56,49,56,53,46,58,53,53,49,51,56,56,53,51,53,53,51,49,51,58,53,51,61,49,53,51,58,46,56,56,46,51,49,53,49,56,53,56,51,58,51,46,46,49,58,53,53,49,61,53,46,58,51,51,51,53,53,49,53,58,56,56,56,51,53,58,56,58,53,58,51,56,51,53,53,51,53,58,63,46,53,46,56,46,46,46,56,61,49,53,46,65,51,46,56,51,49,56
56,58,68,70,56,63,56,53,53,56,53,58,58,61,56,56,53,53,63,63,53,51,56,53,56,58,63,49,53,61,53,58,53,58,53,56,56,58,49,51,56,49,53,61,53,63,58,61,51,56,63,70,56,63,58,56,65,65,65,49,63,53,53,51,51,53,56,70,56,63,53,46,49,51,56,56,53,65,58,51,65,49,58,53,58,70,61,56,63,46,49,63,56,58,51,46,58,51,53,58,61,63,56,53,65,61,49,61,56,58,46,61,53,63,53,46,58,58,53,53,58,63,51,56,70,53,51,53,63,65,61,63,53,46,56,61,58,63,51,58,46,63,56,51,53,53,65,61,58,46,61,58,49,53,58,56,58,56,53,63,49,56,61,56,56,58,58,63,58,65,56,68,51,61,56,58,61,58,61,58,63,49,63,53,61,46,46,46,61,65,53,53,46,63,56,56,61,58,63,58
58,58,70,73,61,68,58,56,51,65,56,58,61,58,65,61,56,65,65,58,49,58,53,58,58,53,53,53,70,61,58,53,58,58,58,61,63,70,56,56,61,63,51,58,58,63,65,70,58,58,65,65,58,65,61,61,58,65,61,53,68,58,53,58,56,58,65,73,51,70,51,49,58,49,58,61,53,65,65,53,70,51,56,65,63,68,53,58,70,46,58,58,63,65,58,53,65,56,51,63,53,61,58,53,68,68,51,63,56,56,46,63,58,65,58,58,53,53,56,53,61,68,56,58,68,51,58,56,68,56,58,65,56,53,58,65,61,70,53,49,46,65,61,49,61,61,68,65,56,51,65,56,51,63,61,61,58,58,58,68,58,51,68,53,53,58,56,63,61,70,58,68,56,61,61,56,68,65,68,65,61,53,63,61,65,51,49,51,65,58,58,58,49,68,61,61,65,56,68,61
65,53,73,75,65,68,56,58,53,63,58,61,61,53,68,63,56,61,65,61,53,61,53,63,56,58,68,53,70,61,61,51,63,53,53,63,70,65,51,56,58,58,51,61,65,63,73,68,53,58,63,61,61,70,65,61,61,68,65,56,63,61,58,58,58,63,73,58,51,70,51,53,58,46,58,63,53,65,68,51,75,46,63,63,65,70,65,58,70,49,53,65,58,65,53,56,65,53,53,65,63,63,58,51,73,68,46,65,58,61,46,70,56,63,58,58,58,61,61,53,61,70,56,53,70,53,56,58,68,63,63,61,51,53,68,68,63,70,53,61,46,68,61,49,58,65,70,68,53,53,58,58,53,63,63,58,65,56,61,65,53,61,68,53,53,53,63,68,61,73,58,77,53,58,61,63,68,73,70,63,65,56,68,63,68,46,49,56,70,56,56,58,51,58,65,65,68,58,65,68
65,56,75,77,68,68,56,61,58,70,61,63,68,56,65,61,53,77,68,63,58,77,58,70,58,61,56,61,68,58,70,49,65,53,80,68,70,63,53,65,61,73,51,65,80,56,75,75,58,73,61,68,63,73,73,63,56,65,70,61,61,61,53,68,70,65,70,68,58,77,49,51,63,51,61,61,53,63,70,58,77,51,65,80,70,61,53,61,75,58,58,63,65,75,61,65,68,63,53,68,51,65,68,53,80,63,51,70,58,58,53,70,65,65,61,56,58,61,77,53,70,75,65,56,73,56,61,61,65,58,65,61,53,63,73,73,70,73,56,46,58,70,68,56,61,73,70,70,63,61,58,53,51,68,65,65,63,63,63,61,70,53,75,53,58,51,58,70,65,70,63,77,65,56,63,61,73,70,80,65,56,63,61,77,75,51,56,65,70,58,56,65,46,70,65,73,77,58,75,77
70,61,73,68,68,61,53,53,58,65,58,63,65,51,65,61,49,63,68,63,58,65,58,70,58,63,68,56,63,65,63,46,61,53,65,65,65,53,51,63,65,58,53,70,70,61,70,63,51,65,58,61,58,70,75,61,65,58,63,56,56,58,61,58,65,70,68,61,58,75,58,56,61,56,58,58,58,61,70,56,73,49,61,63,70,65,65,56,73,53,63,65,61,68,53,61,68,58,56,70,65,68,65,53,77,63,51,70,58,58,49,70,61,65,58,51,63,65,68,51,65,70,58,46,70,56,53,63,63,61,68,63,58,53,68,73,65,73,53,61,53,70,65,61,58,65,75,61,65,61,58,61,53,58,63,58,63,70,65,53,58,65,70,53,56,51,65,65,63,65,56,77,58,61,70,65,70,61,77,58,53,58,68,70,73,58,53,61,73,51,53,65,51,58,68,68,73,61,61,77
70,65,73,68,70,63,53,53,61,70,65,58,65,58,65,63,56,65,70,70,65,65,63,70,63,70,53,58,70,58,63,46,65,65,70,65,61,58,56,70,63,70,51,73,70,63,70,65,53,70,61,61,58,70,73,61,65,61,58,58,65,61,58,63,65,68,63,70,58,75,53,61,61,61,61,65,58,65,65,58,73,53,61,65,75,63,58,58,75,58,65,63,61,70,58,56,68,68,61,73,53,75,65,58,68,65,51,73,58,61,56,65,63,70,56,56,70,58,70,51,68,70,58,63,80,56,53,65,65,51,70,68,63,58,73,75,68,75,56,46,68,73,70,63,63,68,73,63,63,63,61,58,53,61,65,61,68,70,68,58,63,49,70,58,61,53,68,65,63,75,58,68,65,65,73,56,73,56,73,65,51,63,65,68,73,56,53,61,75,53,61,63,49,65,73,70,75,53,63,77
73,65,63,63,65,56,46,53,56,65,65,58,58,53,61,65,56,58,65,53,58,58,56,68,63,65,63,56,53,63,58,49,58,65,61,61,65,49,61,58,65,58,53,75,65,61,58,58,53,63,58,53,53,65,63,56,63,58,53,56,53,61,63,61,61,58,58,63,58,68,53,63,58,61,53,58,63,58,61,58,65,53,51,58,68,58,65,63,70,56,61,65,58,58,56,56,68,68,65,73,58,75,63,63,58,51,46,73,56,56,53,63,56,70,53,56,65,61,63,53,65,65,53,58,65,58,51,61,63,56,70,70,53,56,58,70,56,70,53,51,58,73,65,56,61,65,63,61,53,61,61,51,51,65,65,63,68,75,73,61,53,58,68,58,58,51,65,56,56,68,56,70,56,58,77,58,68,58,65,58,51,53,61,63,68,49,49,58,70,58,58,65,46,53,73,58,68,61,65,70
